sender_a,sender_b,n_a,n_b,p50_a_ms,p50_b_ms,hl_shift_a_minus_b_ms,p50_diff_a_minus_b_ms,p50_diff_ci_lo,p50_diff_ci_hi,p90_diff_a_minus_b_ms,p90_diff_ci_lo,p90_diff_ci_hi,mw_u,mw_p,mw_p_fdr,significant_fdr
allenhark-quic-ams,triton-fra,40,3329,60.963183,80.249031,-3.6581135000000025,-19.285848,-29.880693975000007,25.24984296249999,42.93122930000001,-52.88175191749997,219.592013,63478.0,0.6120298004000049,0.6630322837666719,False
allenhark-quic-fra,astralane-fra,331,2550,40.380459,57.952623,-13.072096500000004,-17.572164,-20.539719074999997,-13.902087750000002,-4.603038099999964,-20.865957060000007,12.760496600000039,321313.0,1.509984708131486e-12,2.9235874136162812e-12,True
allenhark-quic-fra,astralane-quic-fra,331,1764,40.380459,61.009658,-16.4503435,-20.629199,-23.960905637499998,-16.8013854625,-8.784304700000007,-26.027378167500068,8.726607799999982,212380.0,3.317618681620445e-15,7.363495122620987e-15,True
allenhark-quic-fra,blockrazor,331,310,40.380459,166.167412,-88.91884050000002,-125.78695300000001,-129.24434485,-120.64217994999998,-25.232082899999995,-44.168851329999995,-7.253297600000025,25734.0,9.926160525289246e-28,3.0739846962039834e-27,True
allenhark-quic-fra,bloxroute-fra,331,212,40.380459,113.66261549999999,-39.373673,-73.28215649999999,-121.13456745,-49.469548999999994,-31.250672699999996,-58.187072,-9.651258000000013,23890.0,3.451484726167336e-10,5.926134152475991e-10,True
allenhark-quic-fra,bloxroute-quic-fra,331,159,40.380459,165.528125,-57.038903,-125.14766599999999,-134.80084499999998,-58.773452125000006,-30.85211720000001,-54.88836899999998,-13.765515035000016,15053.0,1.6688692841049647e-14,3.4515251103079953e-14,True
allenhark-quic-fra,helius-dual,331,1845,40.380459,29.571341,9.503653,10.809118000000002,7.890156000000001,14.17282085,12.455525599999987,-3.9074958900000447,29.69650313999995,380452.0,9.657563438480169e-13,1.910517984568903e-12,True
allenhark-quic-fra,helius-fra,331,294,40.380459,165.8274395,-84.38491300000001,-125.4469805,-130.040983,-120.17564667500001,-36.86752359999994,-67.08564849999999,-15.915374949999983,27342.0,3.0795557077605004e-21,8.0068448401773e-21,True
allenhark-quic-fra,nextblock-quic-fra,331,898,40.380459,30.8829895,9.4651125,9.497469500000001,6.225824000000003,13.277106112499999,21.31891570000002,5.650316299999986,37.7188204,182467.0,8.670138130511977e-10,1.461078833104796e-09,True
allenhark-quic-fra,nozomi-fra,331,1067,40.380459,73.383111,-22.785891999999997,-33.002652,-43.070388,-25.641312000000006,-43.04646079999998,-60.45611459999998,-21.11387960000002,116189.0,4.834440766048679e-21,1.2220391936400828e-20,True
allenhark-quic-fra,syncro-fra,331,272,40.380459,40.4776115,0.5988289999999985,-0.09715249999999997,-4.544926212499999,5.628124462499997,5.608008899999959,-30.027149700000024,64.11557200000001,45705.0,0.7463711078399851,0.7990561272169252,False
allenhark-quic-fra,triton-fra,331,3329,40.380459,80.249031,-26.676396,-39.868572,-45.577771000000006,-33.3734089,-25.813466199999993,-41.56756317499998,-9.53764782000001,344438.0,1.9931076466438673e-29,6.717510957207108e-29,True
astralane-fra,astralane-quic-fra,2550,1764,57.952623,61.009658,-3.2490060000000014,-3.057034999999999,-5.488413037500001,-0.7886555499999959,-4.181266600000043,-14.409733732500015,5.837621047499906,2131547.0,0.003467972054305482,0.004573702274518824,True
astralane-fra,blockrazor,2550,310,57.952623,166.167412,-68.461903,-108.21478900000001,-111.09642099999999,-104.27807513750002,-20.62904480000003,-35.12089980750022,-11.729338812500004,234928.0,1.6492370601252158e-31,6.2533571863081094e-31,True
astralane-fra,bloxroute-fra,2550,212,57.952623,113.66261549999999,-27.096049000000008,-55.709992499999984,-103.79996705000002,-31.5748065,-26.647634600000032,-49.45144622500006,-12.997055107500048,219686.0,5.7173930615793475e-06,8.529225714815093e-06,True
astralane-fra,bloxroute-quic-fra,2550,159,57.952623,165.528125,-43.849282499999994,-107.57550199999999,-116.88062706249998,-41.194502,-26.249079100000046,-43.56360857000011,-18.36205359750002,140182.0,6.318261773513087e-11,1.1499236427793817e-10,True
astralane-fra,helius-dual,2550,1845,57.952623,29.571341,22.968483499999998,28.381282000000002,26.359753949999998,30.076941712500002,17.05856369999995,8.446284554999934,25.190912539999985,3414661.0,2.0799316158471375e-144,2.7039111006012784e-143,True
astralane-fra,helius-fra,2550,294,57.952623,165.8274395,-64.78526649999999,-107.8748165,-112.1922195,-103.76826463750001,-32.26448549999998,-56.112443567499916,-18.877339305000024,243937.0,9.28552714673693e-23,2.5605544556153355e-22,True
astralane-fra,nextblock-quic-fra,2550,898,57.952623,30.8829895,22.711804,27.069633500000002,24.345024500000005,29.304099375,25.921953799999983,18.168303144999975,32.56673514000001,1623577.5,1.1156930448003521e-77,7.252004791202289e-77,True
astralane-fra,nozomi-fra,2550,1067,57.952623,73.383111,-10.9183135,-15.430487999999997,-25.324857137500004,-8.764811200000002,-38.44342270000001,-48.97547627000006,-21.945304117500005,1160666.0,3.0709270535470034e-12,5.821965872349527e-12,True
astralane-fra,syncro-fra,2550,272,57.952623,40.4776115,14.396278500000003,17.4750115,13.662179975,22.157611675,10.211046999999922,-20.928349177500024,65.87033931249994,454349.0,3.781759243737566e-17,8.824104902054321e-17,True
astralane-fra,triton-fra,2550,3329,57.952623,80.249031,-13.994842499999999,-22.296408,-27.975196137500003,-16.830350212500004,-21.21042810000003,-29.093386877500063,-14.805629750000053,3452927.0,1.2642482008339208e-34,5.229390285267581e-34,True
astralane-quic-fra,blockrazor,1764,310,61.009658,166.167412,-60.659901000000005,-105.15775400000001,-108.24257278749998,-101.03109839999999,-16.447778199999988,-31.04129947500004,-5.833501012500083,170987.0,6.028367000974289e-26,1.7696174099634205e-25,True
astralane-quic-fra,bloxroute-fra,1764,212,61.009658,113.66261549999999,-22.3180675,-52.652957499999985,-100.4896618,-29.423946137500018,-22.46636799999999,-44.155253600000016,-7.726779779999997,157330.0,0.000158180824900646,0.0002214531548609044,True
astralane-quic-fra,bloxroute-quic-fra,1764,159,61.009658,165.528125,-39.20680449999999,-104.51846699999999,-113.9731986875,-38.17852022500002,-22.067812500000002,-39.943440700000195,-13.140697775,101458.0,7.344255668979045e-09,1.1725039752229704e-08,True
