leader_identity,leader_name,sender_name,land_count,n_triggers,land_rate
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,triton-fra,11,44,0.25
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,astralane-fra,3,44,0.0682
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,astralane-quic-fra,2,44,0.0455
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,allenhark-quic-ams,1,44,0.0227
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,helius-dual,1,44,0.0227
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,0slot-de1,20,44,0.4545
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,triton-fra,8,44,0.1818
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,astralane-quic-fra,3,44,0.0682
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,astralane-fra,2,44,0.0455
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,helius-dual,2,44,0.0455
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,nozomi-fra,2,44,0.0455
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,allenhark-quic-ams,1,44,0.0227
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,blockrazor,1,44,0.0227
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,validator.com,nextblock-quic-fra,1,44,0.0227
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,ProStaking,0slot-de1,36,44,0.8182
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,ProStaking,nozomi-fra,2,44,0.0455
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,ProStaking,astralane-fra,1,44,0.0227
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,ProStaking,triton-fra,1,44,0.0227
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,Solmate - RockawayX powered,0slot-de1,26,42,0.619
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,Solmate - RockawayX powered,astralane-quic-fra,4,42,0.0952
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,Solmate - RockawayX powered,triton-fra,3,42,0.0714
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,Solmate - RockawayX powered,astralane-fra,2,42,0.0476
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,Solmate - RockawayX powered,allenhark-quic-ams,1,42,0.0238
t23p8aBQN6P6tziMuN5XPmzqVRrip9oes7KuQwSmate,Solmate - RockawayX powered,bloxroute-quic-fra,1,42,0.0238
5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,triton-fra,17,40,0.425
5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,0slot-de1,13,40,0.325
5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,astralane-fra,1,40,0.025
5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,astralane-quic-fra,1,40,0.025
5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,syncro-fra,1,40,0.025
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,,helius-fra,12,40,0.3
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,,helius-dual,11,40,0.275
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,,nozomi-fra,7,40,0.175
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,,0slot-de1,4,40,0.1
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,,allenhark-quic-fra,1,40,0.025
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,,nextblock-quic-fra,1,40,0.025
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,,syncro-fra,1,40,0.025
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,Hamsa,0slot-de1,18,40,0.45
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,Hamsa,triton-fra,16,40,0.4
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,Hamsa,astralane-quic-fra,2,40,0.05
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,Hamsa,astralane-fra,1,40,0.025
mineL1YNwcRnxN93B2sX6q22R11WfRqxnY4NBV8KfFY,Exo Tech,0slot-de1,30,40,0.75
mineL1YNwcRnxN93B2sX6q22R11WfRqxnY4NBV8KfFY,Exo Tech,triton-fra,7,40,0.175
mineL1YNwcRnxN93B2sX6q22R11WfRqxnY4NBV8KfFY,Exo Tech,astralane-quic-fra,2,40,0.05
BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,DeFi Dev Corp (NASDAQ: DFDV),astralane-quic-fra,17,39,0.4359
BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,DeFi Dev Corp (NASDAQ: DFDV),astralane-fra,11,39,0.2821
BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,DeFi Dev Corp (NASDAQ: DFDV),0slot-de1,2,39,0.0513
BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,DeFi Dev Corp (NASDAQ: DFDV),nozomi-fra,1,39,0.0256
BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,DeFi Dev Corp (NASDAQ: DFDV),syncro-fra,1,39,0.0256
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,0slot-de1,16,39,0.4103
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,blockrazor,4,39,0.1026
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,nozomi-fra,4,39,0.1026
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,triton-fra,3,39,0.0769
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,helius-dual,2,39,0.0513
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,allenhark-quic-fra,1,39,0.0256
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,astralane-fra,1,39,0.0256
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,astralane-quic-fra,1,39,0.0256
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,helius-fra,1,39,0.0256
HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,nextblock-quic-fra,1,39,0.0256
ALp2GdA1eJV8vZHMHazCtTxNXe3BLUSco9LDASgjDs8R,🌸 SOLGirl MEV ⚡️👩‍💻,0slot-de1,9,36,0.25
ALp2GdA1eJV8vZHMHazCtTxNXe3BLUSco9LDASgjDs8R,🌸 SOLGirl MEV ⚡️👩‍💻,astralane-fra,9,36,0.25
ALp2GdA1eJV8vZHMHazCtTxNXe3BLUSco9LDASgjDs8R,🌸 SOLGirl MEV ⚡️👩‍💻,nozomi-fra,4,36,0.1111
ALp2GdA1eJV8vZHMHazCtTxNXe3BLUSco9LDASgjDs8R,🌸 SOLGirl MEV ⚡️👩‍💻,nextblock-quic-fra,2,36,0.0556
ALp2GdA1eJV8vZHMHazCtTxNXe3BLUSco9LDASgjDs8R,🌸 SOLGirl MEV ⚡️👩‍💻,astralane-quic-fra,1,36,0.0278
ALp2GdA1eJV8vZHMHazCtTxNXe3BLUSco9LDASgjDs8R,🌸 SOLGirl MEV ⚡️👩‍💻,triton-fra,1,36,0.0278
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,,triton-fra,17,36,0.4722
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,,0slot-de1,15,36,0.4167
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,BONK,0slot-de1,17,36,0.4722
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,BONK,triton-fra,11,36,0.3056
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,BONK,astralane-fra,1,36,0.0278
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,BONK,nextblock-quic-fra,1,36,0.0278
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Cavey Cool,astralane-fra,14,36,0.3889
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Cavey Cool,astralane-quic-fra,9,36,0.25
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Cavey Cool,nozomi-fra,6,36,0.1667
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Cavey Cool,0slot-de1,1,36,0.0278
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Cavey Cool,blockrazor,1,36,0.0278
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Cavey Cool,triton-fra,1,36,0.0278
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,0slot-de1,17,36,0.4722
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,nextblock-quic-fra,4,36,0.1111
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,allenhark-quic-fra,2,36,0.0556
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,astralane-fra,2,36,0.0556
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,blockrazor,2,36,0.0556
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,bloxroute-fra,2,36,0.0556
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,allenhark-quic-ams,1,36,0.0278
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,astralane-quic-fra,1,36,0.0278
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,bloxroute-quic-fra,1,36,0.0278
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,QubitNexus,helius-dual,1,36,0.0278
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,P2P.org Turbo,syncro-fra,13,36,0.3611
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,P2P.org Turbo,0slot-de1,11,36,0.3056
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,P2P.org Turbo,astralane-quic-fra,2,36,0.0556
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,astralane-fra,8,36,0.2222
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,astralane-quic-fra,7,36,0.1944
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,nextblock-quic-fra,5,36,0.1389
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,nozomi-fra,5,36,0.1389
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,triton-fra,3,36,0.0833
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,0slot-de1,1,36,0.0278
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,bloxroute-quic-fra,1,36,0.0278
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Anza,helius-fra,1,36,0.0278
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,nozomi-fra,10,35,0.2857
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,0slot-de1,6,35,0.1714
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,astralane-fra,5,35,0.1429
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,astralane-quic-fra,4,35,0.1143
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,triton-fra,4,35,0.1143
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,allenhark-quic-fra,1,35,0.0286
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,,nextblock-quic-fra,1,35,0.0286
